"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"166","","","A1","C","","01:07:23:10","01:07:27:16","02:04:22:18","02:04:26:24","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"167","","","V1","C","","01:08:07:06","01:08:08:14","02:04:26:24","02:04:28:02","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"168","","","A1","C","","01:08:07:06","01:08:08:14","02:04:26:24","02:04:28:02","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"169","","","V1","C","","01:08:20:10","01:08:22:04","02:04:28:02","02:04:29:26","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"170","","","A1","C","","01:08:20:10","01:08:22:04","02:04:28:02","02:04:29:26","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"171","","","V1","C","","01:08:27:15","01:08:29:15","02:04:29:26","02:04:31:26","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"172","","","A1","C","","01:08:27:15","01:08:29:15","02:04:29:26","02:04:31:26","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"173","","","V1","C","","01:08:37:27","01:08:41:23","02:04:31:26","02:04:35:22","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"174","","","A1","C","","01:08:37:27","01:08:41:23","02:04:31:26","02:04:35:22","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"175","","","V1","C","","01:08:57:04","01:09:01:29","02:04:35:22","02:04:40:17","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"176","","","A1","C","","01:08:57:04","01:09:01:29","02:04:35:22","02:04:40:17","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"177","","","V1","C","","01:09:09:26","01:09:12:18","02:04:40:17","02:04:43:09","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"178","","","A1","C","","01:09:09:26","01:09:12:18","02:04:40:17","02:04:43:09","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"179","","","V1","C","","01:09:25:04","01:09:28:03","02:04:43:09","02:04:46:08","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"180","","","A1","C","","01:09:25:04","01:09:28:03","02:04:43:09","02:04:46:08","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"181","","","V1","C","","01:09:33:25","01:09:34:23","02:04:46:08","02:04:47:06","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"182","","","A1","C","","01:09:33:25","01:09:34:23","02:04:46:08","02:04:47:06","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
